sujeto,genero,edad,edo_civil,carrera,semestre,discapacidad,lengua,esc_proc,prom,ant_aca,gusto,familia,tipo_f,vivienda,cuenta
30,F,25,SOLTERO,14,9,1,1,68,90,2690,2,2,1,1,201607026
30,F,25,SOLTERO,14,9,1,1,68,90,2690,2,2,1,1,201607026
30,F,25,SOLTERO,14,9,1,1,68,90,2690,2,2,1,1,201607026
198,F,28,SOLTERO,3,13,1,1,0,0,1548,1,1,1,1,201617010
198,F,28,SOLTERO,3,13,1,1,0,0,1548,1,1,1,1,201617010
198,F,28,SOLTERO,3,13,1,1,0,0,1548,1,1,1,1,201617010
793,F,23,SOLTERO,1,12,1,1,0,86,456,1,1,2,1,201701072
793,F,23,SOLTERO,1,12,1,1,0,86,456,1,1,2,1,201701072
839,F,22,SOLTERO,2,8,1,1,21,9.5,15,1,1,1,1,201707034
839,F,22,SOLTERO,2,8,1,1,21,9.5,15,1,1,1,1,201707034
839,F,22,SOLTERO,2,8,1,1,21,9.5,15,1,1,1,1,201707034
840,M,22,SOLTERO,2,9,1,1,1,7.8,18,1,1,2,1,201707030
840,M,22,SOLTERO,2,9,1,1,1,7.8,18,1,1,2,1,201707030
844,F,22,SOLTERO,2,8,1,1,1,8.8,14,1,1,2,1,201707009
844,F,22,SOLTERO,2,8,1,1,1,8.8,14,1,1,2,1,201707009
846,M,21,SOLTERO,2,9,1,1,28,9,27,1,1,2,1,201707002
846,M,21,SOLTERO,2,9,1,1,28,9,27,1,1,2,1,201707002
848,M,23,SOLTERO,2,11,2,1,28,88,22,1,1,1,1,201707018
848,M,23,SOLTERO,2,11,2,1,28,88,22,1,1,1,1,201707018
849,M,22,SOLTERO,2,9,1,1,21,8.4,20,2,1,1,1,201707008
849,M,22,SOLTERO,2,9,1,1,21,8.4,20,2,1,1,1,201707008
850,F,21,SOLTERO,2,8,1,1,2,8.3,3,1,1,2,1,201707013
850,F,21,SOLTERO,2,8,1,1,2,8.3,3,1,1,2,1,201707013
852,M,22,SOLTERO,2,10,1,1,28,78,8,1,1,2,1,201707020
852,M,22,SOLTERO,2,10,1,1,28,78,8,1,1,2,1,201707020
853,M,22,SOLTERO,2,10,1,2,130,80,21,2,1,3,1,201707001
853,M,22,SOLTERO,2,10,1,2,130,80,21,2,1,3,1,201707001
854,M,22,SOLTERO,2,8,1,1,27,8.6,11,1,1,1,1,201707022
854,M,22,SOLTERO,2,8,1,1,27,8.6,11,1,1,1,1,201707022
854,M,22,SOLTERO,2,8,1,1,27,8.6,11,1,1,1,1,201707022
855,F,21,SOLTERO,2,8,1,1,24,91,1,1,1,2,1,201707010
855,F,21,SOLTERO,2,8,1,1,24,91,1,1,1,2,1,201707010
856,M,22,SOLTERO,2,8,2,1,28,9.3,9,1,1,2,1,201707021
856,M,22,SOLTERO,2,8,2,1,28,9.3,9,1,1,2,1,201707021
859,M,21,SOLTERO,2,8,2,1,1,8.5,5,1,1,1,1,201707028
