sujeto,genero,edad,edo_civil,carrera,semestre,discapacidad,lengua,esc_proc,prom,ant_aca,gusto,familia,tipo_f,vivienda,cuenta,tipo,frecuencia
2703,F,22,SOLTERO,1,8,1,1,6,8.5,2323,1.0,1.0,3.0,1.0,202001044,Sexual,1.0
2703,F,22,SOLTERO,1,8,1,1,6,8.5,2323,1.0,1.0,3.0,1.0,202001044,Sexual,1.0
2733,M,21,SOLTERO,13,8,1,1,1,8.8,974,1.0,1.0,2.0,1.0,202035031,Física,1.0
2733,M,21,SOLTERO,13,8,1,1,1,8.8,974,1.0,1.0,2.0,1.0,202035031,Física,1.0
2736,M,21,SOLTERO,13,8,1,1,1,7.9,1100,1.0,1.0,2.0,1.0,202035033,Verbal,1.0
2737,F,22,SOLTERO,6,8,1,1,12,9.2,1078,1.0,1.0,1.0,4.0,202021044,Psicológica,1.0
2737,F,22,SOLTERO,6,8,1,1,12,9.2,1078,1.0,1.0,1.0,4.0,202021044,Psicológica,1.0
2746,M,21,SOLTERO,13,8,2,1,1,9.4,1443,2.0,2.0,1.0,4.0,202035015,Verbal,1.0
2764,F,21,SOLTERO,5,8,1,1,1,8.2,1070,1.0,1.0,1.0,1.0,202016041,Psicológica,1.0
2764,F,21,SOLTERO,5,8,1,1,1,8.2,1070,1.0,1.0,1.0,1.0,202016041,Psicológica,1.0
2764,F,21,SOLTERO,5,8,1,1,1,8.2,1070,1.0,1.0,1.0,1.0,202016041,Psicológica,1.0
2814,M,21,SOLTERO,13,8,1,1,1,7.3,1438,1.0,1.0,2.0,1.0,202035032,Física,1.0
2879,F,21,SOLTERO,5,8,1,1,1,8.1,852,1.0,1.0,3.0,1.0,202016035,Psicológica,1.0
2879,F,21,SOLTERO,5,8,1,1,1,8.1,852,1.0,1.0,3.0,1.0,202016035,Psicológica,1.0
2888,M,21,SOLTERO,1,8,1,1,19,7.4,98,1.0,1.0,1.0,1.0,202001016,Verbal,1.0
2888,M,21,SOLTERO,1,8,1,1,19,7.4,98,1.0,1.0,1.0,1.0,202001016,Verbal,1.0
2888,M,21,SOLTERO,1,8,1,1,19,7.4,98,1.0,1.0,1.0,1.0,202001016,Verbal,1.0
2888,M,21,SOLTERO,1,8,1,1,19,7.4,98,1.0,1.0,1.0,1.0,202001016,Verbal,1.0
2888,M,21,SOLTERO,1,8,1,1,19,7.4,98,1.0,1.0,1.0,1.0,202001016,Verbal,1.0
2888,M,21,SOLTERO,1,8,1,1,19,7.4,98,1.0,1.0,1.0,1.0,202001016,Verbal,1.0
2890,M,22,SOLTERO,5,8,1,1,1,7.9,2296,1.0,1.0,1.0,1.0,202016044,"Física, Psicológica",2.0
2890,M,22,SOLTERO,5,8,1,1,1,7.9,2296,1.0,1.0,1.0,1.0,202016044,"Física, Psicológica",2.0
2893,M,21,SOLTERO,5,8,1,1,1,9.0,1411,1.0,1.0,1.0,1.0,202016043,"Verbal, Sexual",2.0
2897,F,25,SOLTERO,1,8,1,1,1,8.4,1430,1.0,1.0,1.0,1.0,202001038,Verbal,1.0
2897,F,25,SOLTERO,1,8,1,1,1,8.4,1430,1.0,1.0,1.0,1.0,202001038,Verbal,1.0
2901,F,21,SOLTERO,1,8,1,1,8,9.5,975,1.0,1.0,1.0,1.0,202001053,Verbal,1.0
2901,F,21,SOLTERO,1,8,1,1,8,9.5,975,1.0,1.0,1.0,1.0,202001053,Verbal,1.0
2901,F,21,SOLTERO,1,8,1,1,8,9.5,975,1.0,1.0,1.0,1.0,202001053,Verbal,1.0
2907,F,21,SOLTERO,1,8,2,1,1,9.2,2324,1.0,1.0,1.0,1.0,202001055,Psicológica,1.0
2907,F,21,SOLTERO,1,8,2,1,1,9.2,2324,1.0,1.0,1.0,1.0,202001055,Psicológica,1.0
2914,M,21,SOLTERO,1,8,1,1,1,7.8,2325,1.0,1.0,1.0,1.0,202001007,Verbal,1.0
2914,M,21,SOLTERO,1,8,1,1,1,7.8,2325,1.0,1.0,1.0,1.0,202001007,Verbal,1.0
2924,F,21,SOLTERO,1,8,1,1,21,7.4,1322,1.0,1.0,3.0,3.0,202001037,Verbal,1.0
2924,F,21,SOLTERO,1,8,1,1,21,7.4,1322,1.0,1.0,3.0,3.0,202001037,Psicológica,1.0
2924,F,21,SOLTERO,1,8,1,1,21,7.4,1322,1.0,1.0,3.0,3.0,202001037,Verbal,1.0
2924,F,21,SOLTERO,1,8,1,1,21,7.4,1322,1.0,1.0,3.0,3.0,202001037,Psicológica,1.0
2924,F,21,SOLTERO,1,8,1,1,21,7.4,1322,1.0,1.0,3.0,3.0,202001037,Verbal,1.0
2924,F,21,SOLTERO,1,8,1,1,21,7.4,1322,1.0,1.0,3.0,3.0,202001037,Psicológica,1.0
2924,F,21,SOLTERO,1,8,1,1,21,7.4,1322,1.0,1.0,3.0,3.0,202001037,Verbal,1.0
2924,F,21,SOLTERO,1,8,1,1,21,7.4,1322,1.0,1.0,3.0,3.0,202001037,Psicológica,1.0
2924,F,21,SOLTERO,1,8,1,1,21,7.4,1322,1.0,1.0,3.0,3.0,202001037,Verbal,1.0
2924,F,21,SOLTERO,1,8,1,1,21,7.4,1322,1.0,1.0,3.0,3.0,202001037,Psicológica,1.0
2934,M,21,SOLTERO,5,8,1,1,86,9.7,2301,1.0,1.0,2.0,1.0,202016073,Verbal,1.0
2947,F,21,SOLTERO,5,8,1,1,8,8.0,792,1.0,1.0,1.0,1.0,202016042,Física,1.0
2947,F,21,SOLTERO,5,8,1,1,8,8.0,792,1.0,1.0,1.0,1.0,202016042,Física,1.0
2947,F,21,SOLTERO,5,8,1,1,8,8.0,792,1.0,1.0,1.0,1.0,202016042,Física,1.0
2963,F,21,SOLTERO,5,8,1,1,2,9.0,1981,1.0,1.0,1.0,1.0,202016029,Verbal,1.0
2964,F,21,SOLTERO,5,8,1,1,24,8.1,688,1.0,2.0,3.0,1.0,202016003,"Física, Psicológica",2.0
