Cuenta,tipo,frecuencia
201907029,"Verbal, Física, Psicológica, Sexual",4
201907036,Verbal,1
201907036,Verbal,1
201907036,Verbal,1
201907037,Verbal,1
201907046,"Verbal, Psicológica",2
201907048,Verbal,1
201918023,Psicológica,1
202001007,Verbal,1
202001016,Verbal,1
202001024,Verbal,1
202001025,Verbal,1
202001037,Verbal,1
202001037,Psicológica,1
202001038,Verbal,1
202001044,Sexual,1
202001053,Verbal,1
202001055,Psicológica,1
202007001,"Psicológica, Sexual",2
202007009,Psicológica,1
202007021,Psicológica,1
202007039,Verbal,1
202007039,"Verbal, Psicológica, Sexual",3
202007046,"Verbal, Psicológica",2
202007065,"Verbal, Física",2
202010033,Psicológica,1
202016003,"Física, Psicológica",2
202016023,Verbal,1
202016025,"Verbal, Física",2
202016029,Verbal,1
202016035,Psicológica,1
202016041,Psicológica,1
202016042,Física,1
202016043,"Verbal, Sexual",2
202016044,"Física, Psicológica",2
202016061,Psicológica,1
202016062,Verbal,1
202016073,Verbal,1
202016075,Psicológica,1
202016078,"Verbal, Psicológica",2
202016078,"Verbal, Física",2
202018042,Psicológica,1
202021029,Psicológica,1
202021044,Psicológica,1
202035015,Verbal,1
202035018,Física,1
202035031,Física,1
202035032,Física,1
202035033,Verbal,1
202038005,"Verbal, Psicológica",2
202038011,Verbal,1
202038011,Psicológica,1
202038019,Verbal,1
202038029,"Verbal, Psicológica",1
202038032,Verbal,1
202101057,Verbal,1
202107001,Verbal,1
202107005,Física,1
202107012,Verbal,1
202107022,"Verbal, Física, Psicológica, Sexual",4
202107027,Física,1
202107038,Verbal,1
202107038,Verbal,1
202107048,Psicológica,1
202107056,"Verbal, Física",2
202107057,"Verbal, Física",2
202107060,Verbal,1
202107061,Verbal,1
202107062,"Verbal, Física",2
202110006,"Verbal, Psicológica",2
202116007,Psicológica,1
202116039,Física,1
202116061,Verbal,1
202116071,Verbal,2
202116071,"Verbal, Psicológica",1
202116077,Psicológica,1
202116080,Verbal,1
202117066,"Verbal, Física",2
202117106,Psicológica,1
202121011,Verbal,1
202137029,"Física, Psicológica",2
202201048,Verbal,1
202201067,Psicológica,1
202201072,Psicológica,1
202207002,"Verbal, Física",2
202207006,Psicológica,1
202207006,Verbal,1
202207007,Verbal,1
202207008,Psicológica,1
202207009,"Verbal, Física",2
202207010,"Verbal, Física, Psicológica",3
202207013,Verbal,1
202207017,"Verbal, Sexual",2
202207018,Sexual,1
202207023,Verbal,1
202207026,Verbal,1
202207027,Física,1
202207030,"Verbal, Física, Psicológica, Sexual",4
202207033,"Verbal, Sexual",2
202207034,"Física, Psicológica, Sexual",3
202207036,"Verbal, Física",2
202207042,Verbal,1
202207042,"Verbal, Física, Psicológica",3
202207044,Verbal,1
202207045,Verbal,1
202207047,Verbal,1
202207048,Física,1
202207050,Psicológica,1
202207052,Psicológica,1
202207068,Física,1
202207069,Verbal,1
202207072,Verbal,1
202208031,Verbal,1
202210028,Verbal,1
202216012,"Verbal, Psicológica",2
202216016,Verbal,1
202216020,Verbal,1
202216039,Psicológica,1
202216044,Psicológica,1
202216047,Psicológica,1
202216051,Verbal,1
202217052,"Física, Psicológica",2
202217055,"Verbal, Física",2
202217083,Verbal,1
202217116,Verbal,1
202217131,Psicológica,1
202218044,"Verbal, Física, Psicológica",3
202221029,Psicológica,1
202237011,"Verbal, Física, Psicológica",3
202237014,Psicológica,1
202238004,Verbal,1
202238007,Psicológica,1
202238013,Psicológica,1
202238014,Psicológica,1
202238021,"Física, Psicológica",2
202238022,Psicológica,1
202238024,"Verbal, Psicológica",2
202270004,Verbal,1
202301017,Verbal,1
202307004,Psicológica,1
202307032,Física,1
202307035,Psicológica,1
202307038,"Verbal, Física",2
202307038,"Verbal, Psicológica",2
202307042,Sexual,1
202307042,"Psicológica, Sexual",2
202307048,"Verbal, Física",2
202307057,Verbal,1
202307060,"Verbal, Física",2
202307073,"Verbal, Psicológica",2
202310007,Verbal,1
202310010,Verbal,1
202310029,"Verbal, Psicológica",2
202310031,Verbal,1
202310033,Verbal,1
202310036,Psicológica,1
202310040,"Verbal, Psicológica",2
202310041,Verbal,1
202310044,Psicológica,1
202310046,"Verbal, Física",2
202310050,Sexual,1
202316029,Psicológica,1
202316038,Psicológica,1
202317028,Verbal,1
202317043,"Verbal, Física, Psicológica",3
202318027,"Física, Psicológica",2
202318038,Psicológica,1
202318051,Psicológica,1
202318057,Psicológica,1
202318074,Verbal,1
202335003,"Verbal, Psicológica",2
202337013,Física,1
202337065,Verbal,1
202338012,"Física, Psicológica",2
202338020,"Física, Psicológica",2
202338025,Verbal,1
202338029,Psicológica,1
202338032,Psicológica,1
,,
,,
,,
,,
,,
